Identifier (RIC),Company Name,"ESG Score
(FY0)
(Σ=Avg)","ESG Period Last Update Date
(FY0)","ESG Score
(FY-1)
(Σ=Avg)","YoY % Chg in
ESG Score
(FY0)
(Σ=Avg)",Ticker Symbol,TRBC Economic Sector Name,"Original Announcement Date Time
(FY0)","Market Cap
(Σ=Avg)","Beta
(Σ=Avg)"
AWAW.PK,White Fox Ventures Inc,,,,,AWAW,Consumer Non-Cyclicals,19/05/2016,"294,731.84",
NGEY.PK,New Global Energy Inc,,,,,NGEY,Consumer Non-Cyclicals,02/04/2018,14.33,
JOEY.PK,Joey New York Inc,,,,,JOEY,Consumer Non-Cyclicals,13/06/2017,"27,600.00",
MRMD.PK,MariMed Inc,,,,,MRMD,Consumer Non-Cyclicals,01/03/2023,"129,761,077.98",3.02
MJNE.PK,MJ Holdings Inc,,,,,MJNE,Consumer Non-Cyclicals,21/06/2022,"5,162,128.08",-0.05
AHII.PK,Fyolo Technology Corp,,,,,AHII,Consumer Non-Cyclicals,31/03/2014,1,
AAGH.PK,America Great Health,,,,,AAGH,Consumer Non-Cyclicals,31/10/2022,"200,357,072.41",0.89
CGSI.PK,CGS International Inc,,,,,CGSI,Consumer Non-Cyclicals,15/08/2022,"146,760.05",4.02
SBEV.A,Splash Beverage Group Inc,,,,,SBEV,Consumer Non-Cyclicals,31/03/2023,"58,341,438.40",1
NUZE.OQ,NuZee Inc,,,,,NUZE,Consumer Non-Cyclicals,23/12/2022,"8,085,729.60",1.58
SNYR.PK,Synergy CHC Corp,,,,,SNYR,Consumer Non-Cyclicals,22/10/2021,"2,247,226.85",-2.31
AMNC.PK,Amincor Inc,,,,,AMNC,Consumer Non-Cyclicals,,"1,746,117.18",
HUTN.PK,HUTN Inc,,,,,HUTN,Consumer Non-Cyclicals,04/05/2016,"12,584.67",
CWGL.PK,Crimson Wine Group Ltd,,,,,CWGL,Consumer Non-Cyclicals,13/03/2023,"135,552,699.84",0.46
THST.PK,Truett-Hurst Inc,,,,,THST,Consumer Non-Cyclicals,15/10/2018,"751,029.00",0.33
WEDG.PK,Kush Inc,,,,,WEDG,Consumer Non-Cyclicals,23/07/2014,"107,025,829.10",
SWEE.PK,SweeGen Inc,,,,,SWEE,Consumer Non-Cyclicals,12/10/2017,"14,114,496.00",0.66
WINH.PK,Willcox International Holdings Inc,,,,,WINH,Consumer Non-Cyclicals,20/11/2017,"779,621,820.00",
BDPT.PK,BioAdaptives Inc,,,,,BDPT,Consumer Non-Cyclicals,31/03/2023,"248,942.80",-0.12
TLCC.PK,Twinlab Consolidated Holdings Inc,,,,,TLCC,Consumer Non-Cyclicals,31/03/2023,"25,909,283.30",0.66
NGTF.PK,NightFood Holdings Inc,,,,,NGTF,Consumer Non-Cyclicals,28/09/2022,"7,770,922.95",1.33
BMXCD.PK,Bemax Inc,,,,,BMXCD,Consumer Non-Cyclicals,14/10/2021,"2,096,741.90",0.66
HTHL.PK,Humitech International Group Inc,,,,,HTHL,Consumer Non-Cyclicals,,"1,146,703.45",
LTCO.PK,Long Term Care Operations 360 Inc,,,,,LTCO,Consumer Non-Cyclicals,10/05/2021,,0.95
YCRM.PK,Yuenglings Ice Cream Corp,,,,,YCRM,Consumer Non-Cyclicals,14/02/2023,"111,571.73",3.29
FKST.PK,Flowerkist Skin Care and Cosmetics Inc,,,,,FKST,Consumer Non-Cyclicals,15/04/2022,"390,636.00",-1.65
VDKB.PK,Vodka Brands Corp,,,,,VDKB,Consumer Non-Cyclicals,18/04/2017,"18,071,156.60",
FIFG.PK,First Foods Group Inc,,,,,FIFG,Consumer Non-Cyclicals,14/04/2022,"1,204,096.04",2.07
EGBB.PK,Earth Gen-Biofuel Inc,,,,,EGBB,Consumer Non-Cyclicals,,"15,592,656.08",
AIFM.PK,Aifarm Ltd,,,,,AIFM,Consumer Non-Cyclicals,14/05/2020,138.6,0.66
ACBM.PK,ACRO Biomedical Co Ltd,,,,,ACBM,Consumer Non-Cyclicals,15/04/2022,"255,178,500.00",1.07
AMCT.PK,American Education Center Inc,,,,,AMCT,Consumer Non-Cyclicals,15/04/2021,"136,016.95",0.95
IVBT.PK,Innovation1 Biotech Inc,,,,,IVBT,Consumer Non-Cyclicals,15/12/2022,"4,594,644.85",4.73
SDSYA.PK,South Dakota Soybean Processors LLC,,,,,SDSYA,Consumer Non-Cyclicals,,"236,297,355.00",0.66
USBFU.PK,US Premium Beef LLC,,,,,USBFU,Consumer Non-Cyclicals,,,
EKGRU.PK,East Kansas Agri-Energy LLC,,,,,EKGRU,Consumer Non-Cyclicals,,,
950140.KQ,Englewood Lab Inc,,,,,950140,Consumer Non-Cyclicals,15/03/2023,"69,164,584.71",0.98
ALPP.OQ,Alpine 4 Holdings Inc,,,,,ALPP,Consumer Non-Cyclicals,14/04/2022,"87,045,088.96",1.41
IFMK.PK,iFresh Inc,,,,,IFMK,Consumer Non-Cyclicals,13/08/2020,"192,546.87",-2.37
RVIV.PK,Reviv3 Procare Co,,,,,RVIV,Consumer Non-Cyclicals,25/08/2022,"49,757,703.33",-1.15
UGRO.OQ,urban-gro Inc,,,,,UGRO,Consumer Non-Cyclicals,29/03/2022,"25,745,058.49",1.55
PLTH.CD,Planet 13 Holdings Inc,,,,,PLTH,Consumer Non-Cyclicals,23/03/2023,"165,838,105.83",3.04
BOMH.PK,Boomer Holdings Inc,,,,,BOMH,Consumer Non-Cyclicals,,"81,941.82",6.69
CLB.AX,Candy Club Holdings Ltd,,,,,CLB,Consumer Non-Cyclicals,24/02/2022,"11,355,713.79",1.45
SNAX.OQ,Stryve Foods Inc,,,,,SNAX,Consumer Non-Cyclicals,03/04/2023,"11,561,886.35",1.06
GLASau.NLB,Glass House Brands Inc,,,,,GLAS.A.U,Consumer Non-Cyclicals,13/03/2023,"156,379,438.05",0.87
VWE.OQ,Vintage Wine Estates Inc,,,,,VWE,Consumer Non-Cyclicals,13/09/2022,"67,243,248.86",1.24
MCOM.OQ,micromobility.com inc,,,,,MCOM,Consumer Non-Cyclicals,28/03/2023,"13,639,540.40",0.73
GDMK.PK,Netbrands Corp,,,,,GDMK,Consumer Non-Cyclicals,23/03/2023,"4,065,296.56",0.66
VONI.PK,Veroni Brands Corp,,,,,VONI,Consumer Non-Cyclicals,15/04/2022,,
BSFC.OQ,Blue Star Foods Corp,,,,,BSFC,Consumer Non-Cyclicals,31/03/2022,"3,761,634.87",-0.28
JUPW.OQ,Jupiter Wellness Inc,,,,,JUPW,Consumer Non-Cyclicals,31/03/2022,"11,653,397.26",0.54
PYYX.PK,Pyxus International Inc,,,,,PYYX,Consumer Non-Cyclicals,14/06/2022,"31,999,932.16",-2.47
CBDu.TO,Hempfusion Wellness Inc,,,,,CBD.U,Consumer Non-Cyclicals,05/04/2021,"5,708,468.75",0.61
AGFY.OQ,Agrify Corp,,,,,AGFY,Consumer Non-Cyclicals,23/03/2022,"2,959,737.42",1.25
ROVR.OQ,Rover Group Inc,,,,,ROVR,Consumer Non-Cyclicals,27/02/2023,"780,891,824.32",1.33
VRNO.CD,Verano Holdings Corp,,,,,VRNO,Consumer Non-Cyclicals,30/03/2023,"944,871,217.35",1.47
MNLX.V,MiniLuxe Holding Corp,,,,,MNLX,Consumer Non-Cyclicals,21/04/2022,"25,037,399.02",0.95
GROV.N,Grove Collaborative Holdings Inc,,,,,GROV,Consumer Non-Cyclicals,14/03/2023,"81,862,779.91",1
KAL.OQ,Kalera PLC,,,,,KAL,Consumer Non-Cyclicals,21/10/2022,"1,920,246.02",0.48
SOVO.OQ,Sovos Brands Inc,,,,,SOVO,Consumer Non-Cyclicals,08/03/2023,"1,727,694,480.28",0.59
NPRA.CD,Nepra Foods Inc,,,,,NPRA,Consumer Non-Cyclicals,04/05/2022,"1,914,716.66",1.94
PET.OQ,Wag! Group Co,,,,,PET,Consumer Non-Cyclicals,21/02/2023,"84,214,856.25",1.56
WEST.OQ,Westrock Coffee Co,,,,,WEST,Consumer Non-Cyclicals,14/03/2023,"940,422,201.60",0.2
COCO.OQ,Vita Coco Company Inc,,,,,COCO,Consumer Non-Cyclicals,08/03/2023,"1,164,671,974.86",1.31
WBEVQ.PK,Winc Inc,,,,,WBEVQ,Consumer Non-Cyclicals,30/03/2022,"14,626.69",1.18
RGF.OQ,Real Good Food Company Inc,,,,,RGF,Consumer Non-Cyclicals,27/03/2023,"102,945,215.36",0.26
KLC.N,KinderCare Learning Companies Inc,,,,,KLC,Consumer Non-Cyclicals,09/05/2022,,
EDBL.OQ,Edible Garden AG Inc,,,,,EDBL,Consumer Non-Cyclicals,22/03/2023,"3,999,186.45",2.05
VINE.A,Fresh Vine Wine Inc,,,,,VINE,Consumer Non-Cyclicals,31/03/2023,"6,366,367.03",1.34
BBUC.TO,Brookfield Business Corp,,,,,BBUC,Consumer Non-Cyclicals,17/03/2023,"1,401,856,630.45",1.39
HPCO.OQ,Hempacco Co Inc,,,,,HPCO,Consumer Non-Cyclicals,03/05/2022,"19,532,519.31",-0.17
CBDW.PK,1606 Corp,,,,,CBDW,Consumer Non-Cyclicals,06/04/2022,"976,726.89",
RTEZ.PK,REST EZ Inc,,,,,RTEZ,Consumer Non-Cyclicals,14/07/2022,,
ISPR.OQ,Ispire Technology Inc,,,,,ISPR,Consumer Non-Cyclicals,31/01/2023,"375,983,400.00",
C.N,Citigroup Inc,87.25 (A),31/03/2023,88.91 (A),-1.9% (D),C,Financials,13/01/2023,"89,264,866,739.44",1.56
GS.N,Goldman Sachs Group Inc,84.44 (A),31/03/2023,87.04 (A),-3.0% (D),GS,Financials,17/01/2023,"107,615,449,323.20",1.4
JPM.N,JPMorgan Chase & Co,83.09 (A-),29/03/2023,84.77 (A),-2.0% (D),JPM,Financials,13/01/2023,"373,673,334,307.35",1.08
RF.N,Regions Financial Corp,82.88 (A-),29/03/2023,65.87 (B),25.8% (D-),RF,Financials,20/01/2023,"17,158,552,334.64",1.2
CNO.N,CNO Financial Group Inc,80.70 (A-),29/03/2023,80.10 (A-),0.8% (D-),CNO,Financials,07/02/2023,"2,496,109,275.16",1.14
BLK.N,BlackRock Inc,79.65 (A-),29/03/2023,72.90 (B+),9.2% (D-),BLK,Financials,13/01/2023,"98,615,155,237.20",1.29
FITB.OQ,Fifth Third Bancorp,79.65 (A-),31/03/2023,78.96 (A-),0.9% (D-),FITB,Financials,19/01/2023,"17,697,500,451.20",1.19
STT.N,State Street Corp,79.57 (A-),24/03/2023,88.27 (A),-9.9% (D),STT,Financials,20/01/2023,"25,624,674,714.24",1.58
COF.N,Capital One Financial Corp,78.63 (A-),29/03/2023,75.89 (A-),3.6% (D-),COF,Financials,24/01/2023,"36,305,492,553.33",1.47
NDAQ.OQ,Nasdaq Inc,78.52 (A-),29/03/2023,76.73 (A-),2.3% (D-),NDAQ,Financials,25/01/2023,"26,846,262,284.40",0.97
AMP.N,Ameriprise Financial Inc,78.50 (A-),31/03/2023,78.82 (A-),-0.4% (D),AMP,Financials,25/01/2023,"31,262,546,571.88",1.46
HBAN.OQ,Huntington Bancshares Inc,77.76 (A-),29/03/2023,78.99 (A-),-1.6% (D),HBAN,Financials,20/01/2023,"16,221,434,057.55",1.09
BFH.N,Bread Financial Holdings Inc,77.03 (A-),29/03/2023,68.43 (B+),12.6% (D-),BFH,Financials,26/01/2023,"1,353,187,863.00",1.93
BAC.N,Bank of America Corp,76.18 (A-),31/03/2023,81.37 (A-),-6.4% (D),BAC,Financials,13/01/2023,"222,700,075,385.28",1.38
PNC.N,PNC Financial Services Group Inc,75.65 (A-),31/03/2023,75.45 (A-),0.3% (D-),PNC,Financials,18/01/2023,"48,713,261,538.92",1.1
NTRS.OQ,Northern Trust Corp,75.61 (A-),31/03/2023,67.89 (B+),11.4% (D-),NTRS,Financials,19/01/2023,"18,018,231,307.23",1.09
WFC.N,Wells Fargo & Co,75.59 (A-),31/03/2023,72.35 (B+),4.5% (D-),WFC,Financials,13/01/2023,"143,151,628,757.00",1.12
HIG.N,Hartford Financial Services Group Inc,75.06 (A-),31/03/2023,79.02 (A-),-5.0% (D),HIG,Financials,02/02/2023,"21,823,795,029.82",0.85
KEY.N,KeyCorp,74.29 (B+),31/03/2023,63.67 (B),16.7% (D-),KEY,Financials,19/01/2023,"11,015,073,881.88",1.25
TFIN.OQ,Triumph Financial Inc,74.26 (B+),31/03/2023,66.40 (B),11.8% (D-),TFIN,Financials,25/01/2023,"1,299,086,448.30",1.18
PFG.OQ,Principal Financial Group Inc,73.78 (B+),29/03/2023,62.87 (B),17.3% (D-),PFG,Financials,30/01/2023,"17,839,568,619.54",1.27
BK.N,Bank of New York Mellon Corp,73.71 (B+),31/03/2023,68.68 (B+),7.3% (D-),BK,Financials,13/01/2023,"35,865,466,985.40",1.06
EQH.N,Equitable Holdings Inc,73.55 (B+),29/03/2023,61.37 (B),19.8% (D-),EQH,Financials,08/02/2023,"8,911,374,117.87",1.4
VOYA.N,Voya Financial Inc,73.10 (B+),31/03/2023,76.50 (A-),-4.4% (D),VOYA,Financials,07/02/2023,"6,909,716,403.86",1.15
LPLA.OQ,LPL Financial Holdings Inc,72.90 (B+),29/03/2023,75.88 (A-),-3.9% (D),LPLA,Financials,02/02/2023,"14,995,565,214.72",0.91
ALL.N,Allstate Corp,72.74 (B+),29/03/2023,72.84 (B+),-0.1% (D),ALL,Financials,01/02/2023,"30,340,848,034.00",0.57
JEF.N,Jefferies Financial Group Inc,72.67 (B+),31/03/2023,59.26 (B),22.6% (D-),JEF,Financials,09/01/2023,"7,150,341,460.60",1.4
AXP.N,American Express Co,72.36 (B+),29/03/2023,75.75 (A-),-4.5% (D),AXP,Financials,27/01/2023,"118,179,982,608.59",1.18
GNW.N,Genworth Financial Inc,72.13 (B+),29/03/2023,63.17 (B),14.2% (D-),GNW,Financials,06/02/2023,"2,623,482,709.54",1.02
AIZ.N,Assurant Inc,71.32 (B+),29/03/2023,63.99 (B),11.4% (D-),AIZ,Financials,07/02/2023,"6,262,125,245.47",0.54
CMA.N,Comerica Inc,71.20 (B+),31/03/2023,71.15 (B+),0.1% (D-),CMA,Financials,19/01/2023,"5,428,895,690.88",1.17
SEIC.OQ,SEI Investments Co,70.48 (B+),29/03/2023,71.49 (B+),-1.4% (D),SEIC,Financials,25/01/2023,"7,623,512,077.64",1.02
WBS.N,Webster Financial Corp,68.69 (B+),29/03/2023,56.53 (B-),21.5% (D-),WBS,Financials,26/01/2023,"6,483,296,088.32",1.25
ICE.N,Intercontinental Exchange Inc,68.34 (B+),29/03/2023,57.84 (B-),18.2% (D-),ICE,Financials,02/02/2023,"60,589,134,461.00",0.93
GL.N,Globe Life Inc,67.98 (B+),29/03/2023,46.70 (C+),45.6% (D-),GL,Financials,01/02/2023,"10,399,189,455.18",0.79
MTB.N,M&T Bank Corp,67.86 (B+),31/03/2023,59.35 (B),14.3% (D-),MTB,Financials,19/01/2023,"19,756,942,250.46",0.77
CFG.N,Citizens Financial Group Inc,67.42 (B+),31/03/2023,66.96 (B+),0.7% (D-),CFG,Financials,17/01/2023,"14,078,853,676.44",1.3
AMAL.OQ,Amalgamated Bank,67.36 (B+),29/03/2023,62.47 (B),7.8% (D-),AMAL,Financials,26/01/2023,"530,017,395.84",0.75
PRU.N,Prudential Financial Inc,67.30 (B+),29/03/2023,76.72 (A-),-12.3% (D),PRU,Financials,07/02/2023,"30,590,964,560.48",1.37
USB.N,US Bancorp,67.28 (B+),31/03/2023,56.35 (B-),19.4% (D-),USB,Financials,25/01/2023,"54,761,474,803.75",0.95
GBCI.N,Glacier Bancorp Inc,66.83 (B+),29/03/2023,48.71 (C+),37.2% (D-),GBCI,Financials,26/01/2023,"4,461,341,679.68",0.79
MET.N,MetLife Inc,66.73 (B+),31/03/2023,59.12 (B),12.9% (D-),MET,Financials,01/02/2023,"45,741,568,774.44",1.05
LNC.N,Lincoln National Corp,66.62 (B),29/03/2023,60.07 (B),10.9% (D-),LNC,Financials,08/02/2023,"3,470,722,484.39",1.75
AIG.N,American International Group Inc,66.56 (B),24/03/2023,60.69 (B),9.7% (D-),AIG,Financials,15/02/2023,"37,475,758,119.80",1.13
RJF.N,Raymond James Financial Inc,66.16 (B),29/03/2023,72.19 (B+),-8.4% (D),RJF,Financials,26/10/2022,"19,241,659,294.85",1.04
TRV.N,Travelers Companies Inc,65.05 (B),29/03/2023,65.83 (B),-1.2% (D),TRV,Financials,24/01/2023,"39,750,785,794.17",0.61
SYF.N,Synchrony Financial,64.95 (B),29/03/2023,67.78 (B+),-4.2% (D),SYF,Financials,23/01/2023,"12,262,163,357.34",1.58
BHF.OQ,Brighthouse Financial Inc,64.67 (B),31/03/2023,48.96 (C+),32.1% (D-),BHF,Financials,09/02/2023,"2,841,911,664.00",1.27
ONB.OQ,Old National Bancorp,64.34 (B),29/03/2023,56.18 (B-),14.5% (D-),ONB,Financials,24/01/2023,"4,067,216,880.90",0.81
ABCB.OQ,Ameris Bancorp,64.03 (B),29/03/2023,57.73 (B-),10.9% (D-),ABCB,Financials,26/01/2023,"2,386,845,720.00",1.1
JXN.N,Jackson Financial Inc,63.78 (B),29/03/2023,,,JXN,Financials,28/02/2023,"2,900,761,318.68",1.49
DFS.N,Discover Financial Services,63.72 (B),31/03/2023,60.23 (B),5.8% (D-),DFS,Financials,18/01/2023,"25,163,163,083.52",1.43
CBOE.Z,Cboe Global Markets Inc,62.82 (B),29/03/2023,52.82 (B-),18.9% (D-),CBOE,Financials,03/02/2023,"14,355,864,598.14",0.49
COLB.OQ,Columbia Banking System Inc,62.61 (B),29/03/2023,47.00 (C+),33.2% (D-),COLB,Financials,24/01/2023,"4,535,587,422.72",0.66
CAC.OQ,Camden National Corp,62.55 (B),29/03/2023,50.77 (B-),23.2% (D-),CAC,Financials,31/01/2023,"511,934,946.46",0.73
THG.N,Hanover Insurance Group Inc,62.35 (B),29/03/2023,57.18 (B-),9.1% (D-),THG,Financials,01/02/2023,"4,605,825,381.78",0.7
NBTB.OQ,NBT Bancorp Inc,62.35 (B),31/03/2023,43.37 (C+),43.8% (D-),NBTB,Financials,23/01/2023,"1,420,562,432.52",0.54
MS.N,Morgan Stanley,61.89 (B),29/03/2023,61.09 (B),1.3% (D-),MS,Financials,17/01/2023,"140,796,601,808.34",1.33
TROW.OQ,T Rowe Price Group Inc,61.24 (B),29/03/2023,52.95 (B-),15.7% (D-),TROW,Financials,26/01/2023,"24,521,386,860.10",1.32
AMG.N,Affiliated Managers Group Inc,61.23 (B),29/03/2023,55.98 (B-),9.4% (D-),AMG,Financials,06/02/2023,"4,937,892,119.10",1.34
FHN.N,First Horizon Corp,60.98 (B),29/03/2023,53.10 (B-),14.8% (D-),FHN,Financials,18/01/2023,"9,516,583,809.81",0.9
WHG.N,Westwood Holdings Group Inc,60.97 (B),31/03/2023,58.79 (B),3.7% (D-),WHG,Financials,15/02/2023,"98,744,919.72",1.23
UNM.N,Unum Group,60.73 (B),29/03/2023,57.72 (B-),5.2% (D-),UNM,Financials,31/01/2023,"7,662,906,028.88",1.04
FNB.N,FNB Corp,60.60 (B),29/03/2023,56.34 (B-),7.5% (D-),FNB,Financials,23/01/2023,"4,088,422,043.00",1.08
APAM.N,Artisan Partners Asset Management Inc,60.35 (B),29/03/2023,45.01 (C+),34.1% (D-),APAM,Financials,31/01/2023,"2,538,888,091.20",1.81
FFBC.OQ,First Financial Bancorp,60.34 (B),29/03/2023,46.55 (C+),29.6% (D-),FFBC,Financials,26/01/2023,"1,998,987,363.03",1.05
PRI.N,Primerica Inc,60.25 (B),29/03/2023,57.75 (B-),4.3% (D-),PRI,Financials,23/02/2023,"6,125,170,761.99",1.18
PFSI.N,PennyMac Financial Services Inc,60.18 (B),31/03/2023,50.81 (B-),18.4% (D-),PFSI,Financials,02/02/2023,"2,984,980,890.98",1.47
IVZ.N,Invesco Ltd,60.05 (B),29/03/2023,60.06 (B),0.0% (D),IVZ,Financials,24/01/2023,"7,254,032,401.00",1.34
TFC.N,Truist Financial Corp,59.92 (B),31/03/2023,57.63 (B-),4.0% (D-),TFC,Financials,19/01/2023,"43,483,306,251.94",1.05
EWBC.OQ,East West Bancorp Inc,59.63 (B),29/03/2023,61.52 (B),-3.1% (D),EWBC,Financials,26/01/2023,"7,476,015,378.70",1.4
BHLB.N,Berkshire Hills Bancorp Inc,59.32 (B),29/03/2023,50.88 (B-),16.6% (D-),BHLB,Financials,26/01/2023,"1,070,381,250.12",1
ASB.N,Associated Banc-Corp,59.28 (B),31/03/2023,52.44 (B-),13.1% (D-),ASB,Financials,26/01/2023,"2,655,282,696.00",0.98
PGR.N,Progressive Corp,59.01 (B),29/03/2023,50.75 (B-),16.3% (D-),PGR,Financials,25/01/2023,"86,218,624,125.92",0.5
FBIZ.OQ,First Business Financial Services Inc,58.86 (B),29/03/2023,51.42 (B-),14.5% (D-),FBIZ,Financials,26/01/2023,"245,494,798.84",0.72
HTGC.N,Hercules Capital Inc,58.76 (B),29/03/2023,,,HTGC,Financials,16/02/2023,"1,704,639,708.89",1.39
MMC.N,Marsh & McLennan Companies Inc,57.35 (B-),29/03/2023,57.08 (B-),0.5% (D-),MMC,Financials,26/01/2023,"83,853,493,495.56",0.92
DHIL.OQ,Diamond Hill Investment Group Inc,57.06 (B-),31/03/2023,54.80 (B-),4.1% (D-),DHIL,Financials,23/02/2023,"502,873,503.95",0.94
SLM.OQ,SLM Corp,56.80 (B-),29/03/2023,45.69 (C+),24.3% (D-),SLM,Financials,01/02/2023,"3,113,749,628.52",1.21
OZK.OQ,Bank Ozk,56.75 (B-),31/03/2023,47.58 (C+),19.3% (D-),OZK,Financials,19/01/2023,"4,280,958,825.06",1.35
AFL.N,Aflac Inc,56.63 (B-),31/03/2023,54.19 (B-),4.5% (D-),AFL,Financials,01/02/2023,"39,491,893,722.96",0.93
BEN.N,Franklin Resources Inc,56.44 (B-),31/03/2023,55.58 (B-),1.5% (D-),BEN,Financials,01/11/2022,"13,309,518,730.20",1.28
CPF.N,Central Pacific Financial Corp,56.37 (B-),31/03/2023,49.61 (C+),13.6% (D-),CPF,Financials,25/01/2023,"465,419,409.45",1.1
BKU.N,BankUnited Inc,56.27 (B-),29/03/2023,51.38 (B-),9.5% (D-),BKU,Financials,19/01/2023,"1,606,089,233.14",1.16
BHB.A,Bar Harbor Bankshares,56.19 (B-),29/03/2023,59.36 (B),-5.3% (D),BHB,Financials,19/01/2023,"378,111,275.00",0.8
WRB.N,W R Berkley Corp,55.55 (B-),31/03/2023,57.98 (B-),-4.2% (D),WRB,Financials,26/01/2023,"16,623,462,855.10",0.62
SIGI.OQ,Selective Insurance Group Inc,55.37 (B-),29/03/2023,54.56 (B-),1.5% (D-),SIGI,Financials,02/02/2023,"5,810,256,311.85",0.62
FNHCQ.PK,Fednat Holding Co,55.29 (B-),29/03/2023,54.66 (B-),1.2% (D-),FNHCQ,Financials,03/03/2022,"15,767.31",2.38
UMBF.OQ,UMB Financial Corp,55.01 (B-),29/03/2023,54.23 (B-),1.4% (D-),UMBF,Financials,24/01/2023,"2,825,371,980.00",0.78
BANC.N,Banc of California Inc,54.81 (B-),29/03/2023,43.94 (C+),24.7% (D-),BANC,Financials,19/01/2023,"722,737,868.16",1.24
CTBI.OQ,Community Trust Bancorp Inc,54.48 (B-),31/03/2023,53.24 (B-),2.3% (D-),CTBI,Financials,18/01/2023,"669,439,087.80",0.72
FHB.OQ,First Hawaiian Inc,54.19 (B-),29/03/2023,49.57 (C+),9.3% (D-),FHB,Financials,27/01/2023,"2,578,500,137.64",1.01
AJG.N,Arthur J. Gallagher & Co.,54.12 (B-),29/03/2023,56.86 (B-),-4.8% (D),AJG,Financials,26/01/2023,"42,252,008,605.47",0.7
WTFC.OQ,Wintrust Financial Corp,54.09 (B-),29/03/2023,50.79 (B-),6.5% (D-),WTFC,Financials,18/01/2023,"4,346,584,285.75",1.17
PPBI.OQ,Pacific Premier Bancorp Inc,53.87 (B-),29/03/2023,51.40 (B-),4.8% (D-),PPBI,Financials,26/01/2023,"2,197,885,991.49",1.18
EFSC.OQ,Enterprise Financial Services Corp,53.81 (B-),29/03/2023,49.22 (C+),9.3% (D-),EFSC,Financials,23/01/2023,"1,620,021,519.22",1.13
CINF.OQ,Cincinnati Financial Corp,53.68 (B-),29/03/2023,54.61 (B-),-1.7% (D),CINF,Financials,06/02/2023,"17,580,187,945.80",0.63
PMTS.OQ,CPI Card Group Inc,53.67 (B-),31/03/2023,53.21 (B-),0.9% (D-),PMTS,Financials,08/03/2023,"493,711,077.20",0.86
SNV.N,Synovus Financial Corp,53.43 (B-),29/03/2023,50.71 (B-),5.4% (D-),SNV,Financials,18/01/2023,"4,298,109,176.52",1.36
NRIM.OQ,Northrim BanCorp Inc,53.17 (B-),29/03/2023,27.48 (C-),93.5% (D-),NRIM,Financials,26/01/2023,"256,532,760.00",0.68
WASH.OQ,Washington Trust Bancorp Inc,53.16 (B-),31/03/2023,45.76 (C+),16.2% (D-),WASH,Financials,25/01/2023,"571,371,094.08",0.74
FCNCO.OQ,First-Citizens Bank & Trust Co,52.90 (B-),29/03/2023,53.93 (B-),-1.9% (D),FCNCO,Financials,26/01/2021,"166,400,000.00",
FAF.N,First American Financial Corp,52.87 (B-),29/03/2023,45.47 (C+),16.3% (D-),FAF,Financials,09/02/2023,"5,705,251,323.03",1.28
CATC.OQ,Cambridge Bancorp,52.77 (B-),29/03/2023,27.20 (C-),94.0% (D-),CATC,Financials,24/01/2023,"499,186,112.04",0.49
HFWA.OQ,Heritage Financial Corp,52.65 (B-),29/03/2023,51.93 (B-),1.4% (D-),HFWA,Financials,26/01/2023,"729,869,893.83",0.57
GATX.N,GATX Corp,52.61 (B-),29/03/2023,52.63 (B-),0.0% (D),GATX,Financials,24/01/2023,"3,829,185,701.80",1.06
NAVI.OQ,Navient Corp,52.59 (B-),31/03/2023,38.13 (C),37.9% (D-),NAVI,Financials,24/01/2023,"2,051,456,448.93",1.55
WD.N,Walker & Dunlop Inc,52.29 (B-),29/03/2023,45.69 (C+),14.4% (D-),WD,Financials,21/02/2023,"2,387,955,261.44",1.39
ALLY.N,Ally Financial Inc,52.09 (B-),31/03/2023,53.08 (B-),-1.9% (D),ALLY,Financials,20/01/2023,"7,839,130,073.44",1.32
AMBC.N,Ambac Financial Group Inc,52.05 (B-),29/03/2023,25.88 (C-),101.1% (D-),AMBC,Financials,28/02/2023,"679,306,680.00",0.73
CACC.OQ,Credit Acceptance Corp,52.01 (B-),29/03/2023,27.77 (C-),87.3% (D-),CACC,Financials,31/01/2023,"5,487,171,707.16",1.31
ZION.OQ,Zions Bancorporation NA,52.01 (B-),31/03/2023,54.13 (B-),-3.9% (D),ZION,Financials,23/01/2023,"4,352,631,314.62",1.1
NMIH.OQ,NMI Holdings Inc,51.90 (B-),29/03/2023,41.58 (C),24.8% (D-),NMIH,Financials,14/02/2023,"1,832,786,236.30",1.27
FSBW.OQ,FS Bancorp Inc,51.65 (B-),09/03/2023,43.88 (C+),17.7% (D-),FSBW,Financials,25/01/2023,"224,410,207.00",1.02
MPB.OQ,Mid Penn Bancorp Inc,51.64 (B-),31/03/2023,42.28 (C+),22.1% (D-),MPB,Financials,25/01/2023,"392,387,732.10",0.55
FIBK.OQ,First Interstate BancSystem Inc,51.58 (B-),29/03/2023,44.22 (C+),16.6% (D-),FIBK,Financials,26/01/2023,"3,109,213,243.89",0.84
PNFP.OQ,Pinnacle Financial Partners Inc,51.56 (B-),29/03/2023,51.67 (B-),-0.2% (D),PNFP,Financials,17/01/2023,"4,080,376,157.00",1.09
EVR.N,Evercore Inc,51.40 (B-),31/03/2023,65.04 (B),-21.0% (D),EVR,Financials,01/02/2023,"4,680,853,403.75",1.5
